filename	ground_truth	prediction
common_voice_de_37863643.mp3	diːs vɪɾd mɪt diːzɜ ɛntʃliːsʊŋ hɛɾfoːɾɡəhoːbən	diːs vɪɾd mɪt diːzɜ ɛntʃliːsʊŋ hɛɾfoːɾɡəhoːbən
common_voice_de_26371740.mp3	yːbɜ diː fɛɾɡɑːbə ɛntʃaɪdət aɪnə øːstɜraɪçɪʃə faxjuːriː	yːbɜ diː fɛɾɡɑːbə ɛntʃaɪdət aɪnə œːstɜraɪçɪʃə faxjuːniː
common_voice_de_25991747.mp3	ɛɾ aɾbaɪtətə fiːlə ʃtʊndən mɪt ɡɾoːsɜ kɔntsɛntɾatsjoːn	ɛɾ aɾbaɪtətə fiːlə ʃtʊndən mɪt ɡɾoːsɜ kɔntsɛntɾatsjoːn
common_voice_de_43193555.mp3	diːs ɪst dan aʊx ɡəʃeːən	diːs ɪst dan aʊx ɡəʃeːən
common_voice_de_19651767.mp3	ɛɾ vɑːɾ bɔksɜ ʊnt ɛlkɑːveːfɑːrɜ	ɛɾ vɑːɾ bɔxsɜ ʊnt ɛlkaveːfɑːrɜ
common_voice_de_18891046.mp3	ziː liːkt mɪt iːrən aɪnʃɛtsʊŋən mançmɑːl rɪçtɪɡɜ als ziː dɛŋkt	ziː liːkt mɪt iːrən aɪnʃɛtsʊŋən mançmɑːl rɪçtɪɡɜ als ziː dɛŋkt
common_voice_de_21333462.mp3	ziː zɪnt tsaɪtɡlaɪç foːɾtsuːleːɡən dɑːmɪt viːɾ ʊns aɪnə ʊmfasəndə foːɾʃtɛlʊŋ dɑːfɔn maxən kœnən	ziː zɪnt tsaɪtɡlaɪç foːɾtsuːleːɡən dɑːmɪt viːɾ ʊns aɪnə ʊmfasəndə foːɾʃtɛlʊŋ dɑːfɔn maxən kœnən
common_voice_de_24436557.mp3	vɛn man diː kɪɾçə bətɾɪt ziːt man tsuːeːɾst deːn naɾtɛks	vɛn man diː kɪɾçə bətɾɪt ziːt man tsuːeːɾst deːn naɾtɛks
common_voice_de_26351687.mp3	diː baɪdən ʃtɛmə bətɾiːbən friːtlɪçən handəl ʊnt taɪltən zɪç fɛɾʃiːdənə aɾbaɪtən ʊntɜaɪnandɜ aʊf	diː baɪdən ʃtɛmə bətɾiːbən friːtlɪçən handəl ʊnt taɪltən zɪç fɛɾʃiːdənə aɾbaɪtən ʊntɜaɪnandɜ aʊf
common_voice_de_42653924.mp3	jeːdəs ɔpjɛkt kan ɪn ʊntɜʃiːtlɪçən (en)lɛvəl ɒv(de) deːtaɪ foːɾkɔmən	jeːdəs ɔpjɛkt kan deːn ʊntɜʃiːtlɪçən (leːvəle) (ɒ(de) )diːtaɪlde) foːɾkɔmən
common_voice_de_18656992.mp3	niːmɑːls	niːmɑːls
common_voice_de_30504664.mp3	maɡdɑː aɪlt nɑːx haʊzə	maɡtɑː aɪlt nɑːx haʊzə
common_voice_de_23396035.mp3	zoː ʃtamt aʊx dɛɾ nɑːmə fɔm lataɪnɪʃən kɔnçɑː ap vas mʊʃəl bədɔøtət	zoː ʃtamt aʊx dɛɾ nɑːmə fɔm lataɪnɪʃən kɔnçɑː ap vas mʊçəl bədɔøtət
common_voice_de_20019952.mp3	ɛɾ ɛɾbaʊtə aɪnəs dɛɾ ɡɾœstən karɑːtədoːjoː ɪn dɔøtʃlants ɪm ʃpɔɾtpaɾk friːdɾɪkshɑːfən	ɛɾ ɛɾbaʊtə aɪnəs dɛɾ ɡɾœstən karɑːtə doːoː ɪn dɔøtʃlants ɪm ʃpɔɾtpaɾk friːdɾɪçshɑːvən
common_voice_de_37154742.mp3	diː ɪnzuːlɑːnɜ leːbən hɔøtə yːbɜviːɡənt fɔm tuːrɪsmʊs	diː ɪnzoːlɑːnɜ leːbən hɔøtə yːbɜviːɡənt fɔm tuːrɪsmʊs
common_voice_de_43344320.mp3	diː dɔøtʊŋ ɪst nɑːx viː fɔɾ ʊmʃtɾɪtən	diː dɔøtʊŋ ɪst nɑːx viː fɔɾ ʊmʃtɾɪtən
common_voice_de_21277559.mp3	ziː hɑːbən niːmɑːls aɪnhalt ɡəboːtən	ziː hɑːbən niːmɑːls aɪnhalt ɡəboːtən
common_voice_de_32873276.mp3	viː kɔmə ɪç tsʊm muːzeːʊm	viː kɔmə ɪç tsʊm muːzeːʊm
common_voice_de_18540438.mp3	viː laʊtət diː foːɾvɑːl fɔn bɔtɾoːp	veː laʊtət diː foːɾvɑːl fɔn pɔɾtɾoːp
common_voice_de_22968918.mp3	ɪn pɾɑːk ɛntʃtant viː tsuːfɔɾ aɪnə raɪə fɔn pɔɾtɾɛːts ʊnt reːlɪɡiːøːzən ɡəmɛldən	ɪn pɾɑːk ɛntʃtant viː tsuːfɔɾ aɪnə raɪə fɔn pɔɾtɾeːts ʊnt reːlɪɡiːøːzən ɡəmɛldən
common_voice_de_19020992.mp3	ɛtʃ	ɑːɡə
common_voice_de_38224691.mp3	tsʊm fiːɾtən mɑːl ɪn fɔlɡə ɡəvan frankɛskoː friːdɾɪç deːn vɛltmaɪstɛɾtiːtəl ɪm fiːrɜboːp	tsʊm fiːɾtən mɑːl ɪm fɔlɡə ɡəvan frankɛskoː friːdɾɪç deːm vɛltmaɪstɜtiːtəl ɪm fiːrɑː boːp
common_voice_de_18603460.mp3	fiːlə planeːtən hɑːbən meːrərə mɔndə	fiːlə planeːtən hɑːbən meːrərə mɔndə
common_voice_de_20371009.mp3	ʊm als pɔɾtɾɛtfoːtoːɡɾɑːf pɾɛstɪɡə tsuː ɛɾlaŋən vɑːrən jeːdɔx ɪnsbeːzɔndərə diː foːtoːɡɾɑfɪʃtɛçnɪʃən fɛɾtɪçkaɪtən ɛntʃaɪdənt	voːɾ als pɔɾtɾiːfoːtoːɡɾafpɾɛstsɪç tsuː ɛɾlaŋən van jeːdɔx ɪnsbeːzɔndərə diː foːtoːɡɾɑfɪʃtɛçɪʃən fɛɾtɪçkaɪtən ɛntʃaɪdənt
common_voice_de_26731092.mp3	ɪm deːtsɛmbɜ vɛɾdən viːɾ jɑː zeːən vas pasiːɾt	ɪm deːtsɛmbɜ vɛɾdən viːɾ jɑː zeːən vas pasiːɾt
common_voice_de_40122822.mp3	diːzəs deːfiːtsɪt ʃpiːɡəlt zɪç aʊx ɪn diːzəm vɛɾk viːdɜ	diːzə ʃtetiːtsɪt ʃpiːɡəlt zɪç aʊx ɪn diːzəm vɛɾk viːdɜ
common_voice_de_27034651.mp3	an dɛɾ kliːnɪk vɛɾdən aʊx hɔøtə nɔx antɾoːpoːzoːfɪʃə aɾtsnaɪmɪtəl hɛɾɡɛʃtɛlt	an dɛɾ kliːnɪk vɛɾdən aʊx hɔøtə nɔx antɾoːpoːzoːfɪʃə ɛɾtsnaɪmɪtəl hɛɾɡɛʃtɛlt
common_voice_de_30417672.mp3	dɛɾ aɪnɡaŋ ɪst d??ç tsvaɪ foːɾʃpɾɪŋəndə fɛlsvɛndə ɡəʃytst	dɛɾ aɪnɡaŋ ɪst d??ç tsvaɪ foːɾʃpɾɪŋəndə fɛlsvɛndə ɡəʃytst
common_voice_de_22706524.mp3	zaɪn kalypzoː viːtaɪ v??də dɔɾt tsʊm yːbɜraʃʊŋshiːt ʊnt zoː aʊx ɪn dɔøtʃlant bəkant	zaɪn kɑlypzoː viːtiː(e v??də dɔɾt tsʊm yːbɜraʃʊŋshiːt ʊnt zoː aʊx ɪn dɔøtʃlant bəkant
common_voice_de_32318114.mp3	plɛtsə baɪ dɛɾ tuːɾ deːɪndoːneːziːɑː ʊnt tuːɾ (en)ɒv(de) taɪjuːɑːn rʊndətən das jɑːɾ ap	plɛtsə baɪ dɛɾ tuːɾ deː ɪndoːneːziːɑː ʊnt tuː)o(detaɪoːɑːn rʊndətən das jɑːɾ ap
common_voice_de_32405142.mp3	stiːlɪstɪʃ ɪst das ɡəbɔødə dɛɾ tsaɪttyːpɪʃən reːfɔɾmaɾçiːtɛktuːɾ tsuːtsuːɔɾdnən	ʃtiːlɪstɪʃ ɪst das ɡəbɔødə dɛɾ tsaɪt tyːpɪʃən reːfɔɾmaɾçiːtɛktuːɾ tsuːtsuːɔɾdnən
common_voice_de_24634881.mp3	dɛɾ (en)sɒŋ(de) tsuːfiːl ɪst aɪn liːt yːbɜ diː ʊnfɛːɪçkaɪt bətsiːʊŋən fɛɾnynftɪç tsuː fyːrən	dɛɾ (en)sɔŋde) tsuː fiːl ɪst aɪn liːt yːbɜ diː ʊmfɛːɪçkaɪt bətsiːʊŋən fɛɾnynftɪç tsuː fyːrən
common_voice_de_18637646.mp3	dɔx deːn bəjɑːɾtən maɡiːɾ kɔntə ɛɾ mɪt zaɪnəm ʊnzɪçtbaɾkaɪtsmantəl nɪçt tɔøʃən	dɔx deːn bəjɑːɾtən maɡiːɜ kɔntə ɛɾ mɪt zaɪnəm ʊnzɪçtbaɾkaɪtsmantəl nɪçt tɔøʃən
common_voice_de_21240512.mp3	ɛs blaɪpt aptsuːvaɾtən viː dɛɾ iːrɑːn reːaɡiːɾt	ɛs blaɪpt aptsuːvaɾtən viː dɛɾ iːrɑːn reːaɡiːɾt
common_voice_de_30642386.mp3	anʃliːsənt ɡɪŋ ɛs mɪt dɛɾ apzənkʊŋ dɛɾ bəʃteːəndən høːənɡlaɪçən kɾɔøtsʊŋən vaɪtɜ	anʃliːsənt ɡɪŋ ɛs mɪt dɛɾ apzɛŋkʊŋ dɛɾ bəʃteːəndən høːənɡlaɪçən kɾɔøtsʊŋ vaɪtɜ
common_voice_de_20187520.mp3	foːɾraŋɪç vɛɾdən zɛltənə kʊlt??sɔɾtən ɡəbʊnkɜt diː fyːɾ lantvɪɾtə ɪn ɛntvɪklʊŋslɛndɜn fɔn bədɔøtʊŋ zɪnt	foːɾraŋɪç vɛɾdən zɛltənə kʊlt??zɔɾtən ɡəbʊnkɜt diː fyːɾ lantvɪɾtə ɪn ɛntvɪklʊŋslɛndɜn fɔn bədɔøtʊŋ zɪnt
common_voice_de_27107602.mp3	diː bɪsheːɾ rɛçt ʊntɜʃiːtlɪçən bɾɔvzəɪntɜfɑːkəs vɛɾdən zoː d??ç aɪn aɪnhaɪtlɪçəs bɾɔvzɪŋ ɛɾzɛtst	diː bɪsheːɾ rɛçt ʊntɜʃiːtlɪçən (bɾoeɪntɜfɑkɪs vɛɾdən zoː d??ç aɪn aɪnhaɪtlɪçəs bɾoːzɪŋ ɛɾzɛtst
common_voice_de_22721086.mp3	dɑːbaɪ zɔlən alə ɪntərɛsən bəryksɪçtɪçt vɛɾdən	dɑːbaɪ zɔlən alə ɪntərɛsən bəryçsɪçtɪçt vɛɾdən
common_voice_de_20476232.mp3	ɛɾ bətaɪlɪçtə zɪç an ɡəvɛɾkʃaftlɪçən ʊnt fɔlksvɪɾtʃaftlɪçən leːɾɡɛŋən dɛɾ ʃuːlə ɪn køːnɪçsvɪntɜ	ɛɾ bətaɪlɪçtə zɪç an ɡəvɛɾtʃaftlɪçən ʊnt fɔlksvɪɾtʃaftlɪçən leːɾɡɛŋən dɛɾ ʃuːlə ɪn køːnɪçsvɪntɜ
common_voice_de_27022471.mp3	rʊɡbiː uːnjoːn ɪst dɛɾ iːnɔfiːtsjɛlə natsjoːnɑːlspɔɾt nɔøzeːlants	rakbiː juːnɪoːn ɪst dɛɾ ɪnɔfiːtsjɛlə natsjoːnɑːlspɔɾt nɔøzeːlants
common_voice_de_19058802.mp3	aɪn tɾɔpfən øːl bəvɪɾkt mançmɑːl vʊndɜ	aɪn tɾɔpfənøːl bəvɪɾkt mançmɑːl vʊndɜ
common_voice_de_37287056.mp3	ɑːbɜ diː masən zɪnt ʃoːn aʊf deːm rɪçtɪɡən veːk	ɑːbɜ diː masən zɪnt ʃoːn aʊf deːm rɪçtɪɡən veːk
common_voice_de_21496869.mp3	baɪdə rɪçtliːnɪən tsuːɾ nɪçtdɪskɾiːmiːniːrʊŋ zɪnt ɡɾʊndleːɡəndə ɔøroːpɛːɪʃə rɛçtsfoːɾʃrɪftən	baɪdə rɪçtliːnɪən tsuːɾ nɪçtdɪskɾiːmiːniːrʊŋ zɪnt ɡɾʊndleːɡəndə ɔøroːpɛːɪʃə rɛçtsfoːɾʃrɪftən
common_voice_de_33216619.mp3	diːs vɑːɾ dɛɾ bɪsheːɾ ɡɾœstə bœɾzənɡaŋ an dɛɾ bœɾzə fɔn teːl ɑviːf	diːs vɑːɾ dɛɾ bɪsheːɾ ɡɾœstə bœɾzənɡaŋ an dɛɾ bœɾzə fɔn tɛlaviːfən
common_voice_de_25371428.mp3	bɪoːɛnɜɡiː zɔnənɛnɜɡiː ʊnt vɪntkɾaft mysən ɪm mɪtəlpʊŋkt ʃteːən	bɪoːenɜɾɡiː zɔnəneːnɛɾɡiː ʊnt vɪntkɾaft mysən ɪm mɪtəlpʊŋkt ʃteːən
common_voice_de_30689000.mp3	toːmɑːs laɪstətə tsiːvɪldiːnst als pfleːɡɜ ɪn aɪnəm altənhaɪm ap	toːmɑːs laɪstət tsiːvɪldiːnst als fleːɡɜnɜ ɪm altənhaɪm ap
common_voice_de_26681236.mp3	dɑː ɡiːpt ɛs aɪnən ʊntɜʃiːt	dɑn ɡiːpt ɛs aɪnən ʊntɜʃiːt
common_voice_de_23778339.mp3	fɔn haɪmveː ɡəplɑːkt keːɾt ɛɾ jeːdɔx nɑːx aɪnɜ vaɪlə viːdɜ tsuːryk	fɔn haɪmveː ɡəplɑːkt keːɾtə ɛɾ jeːdɔx nɑːx aɪnɜ vaɪlə viːdɜ tsuːryk
common_voice_de_21739757.mp3	ɑːbɜ naɪn aɪnɪɡə mɪtɡliːtstɑːtən hɑːbən das aɪnfax nɪçt bəɡɾɪfən	ɑːbɜ naɪn aɪnɪɡə mɪtɡliːtstɑːtən hɑːbən das aɪnfax aŋs bəɡɾɪfən
common_voice_de_24994075.mp3	kɾɪstɔf ɛɾhiːlt ɪn ʃpaɪɜ ʊnt fraɪb??k aɪnə ʊmfasəndə ʃuːlbɪldʊŋ	kɾɪstɔf ɛɾhiːlt ɪn ʃpaɪɜ ʊnt fraɪb??k aɪnə ʊmfasəndə ʃuːlbɪldʊŋ
common_voice_de_22391920.mp3	jeː nɑːx ɑːɾt dɛs vɛɾkəs kan diː hɛɾkʊnft ʊntɜʃiːtlɪç doːkuːməntiːɾt zaɪn	jeː nɑːx ɑːɾt dɛsvɛɾkəs kan diː hɛɾkʊnft ʊntɜʃiːtlɪç doːkuːməntiːɾt zaɪn
common_voice_de_32428842.mp3	aʊf deːn dɛçɜn dɛs tɛmpəls zɪnt klaɪnə pɔɾtsəlanfɪɡuːrən anɡəɔɾdnət	aʊf deːn dɛçɜn dɛs tɛmpəls zɪnt klaɪnə pɔɾtsəlɑnfiːɡuːrən anɡəɔɾdnət
common_voice_de_22164053.mp3	apʃliːsənt nɔx tsvaɪ k??tsə frɑːɡən an deːn rɑːt	apʃliːsənt nɔx tsvaɪ k??tsə frɑːɡən an deːn rɑːt
common_voice_de_19604617.mp3	tsuːdeːm tsiːən bandən d??ç diː vɛlt diː diː andərən mɛnʃən ʊntɜdɾykən	tsuːdeːm tsiːən bandən d??ç diː vɛlt diː diː andərən mɛnʃən ʊntɜdɾykən
common_voice_de_19227643.mp3	diːs bəɛndətə aʊx diː bəʃɛftɪɡʊŋ baɪm fɛɾnzeːən	diːs bəɛndətə aʊx diː bəʃɛftɪɡʊŋ baɪm fɛɾnzeːən
common_voice_de_30725410.mp3	ɪm ɔktoːbɜ tɾɑːt ɛɾ ɪm ʃpɑnɪʃən vɑlənkiːɑː ɪm halbmaratoːn an	ɪm ɔktoːbɜ tɾɑːt ɛɾ ɪm ʃpɑnɪʃən vɑlɛntiːɑː ɪm halbmɑratoːn an
common_voice_de_35225207.mp3	dɛɾ dɪkə ɛntʃpɾɪçt diː nɔøtsaɪtlɪçə jʊstiːtiːɑː	dɛɾ (edeːkə ɛntʃpɾɪçt diː nɔøtsaɪtlɪçə jʊstiːtsiːɑː
common_voice_de_20251159.mp3	ɛɾ bliːp jeːdɔx iːnɔfiːtsjɛl aɪn bərɑːtɜ dɛs pɾɛːziːdɛntən vaklɑːf hɑvəl	ɛɾ bliːp jeːdɔx ɪnɔfiːtsjɛl aɪn bərɑːtɜ dɛs pɾɛːziːdɛntən vatslɑːf hɑvəl
common_voice_de_26759700.mp3	dɑːmɪt fɛɾloːɾ iːuːliːanʊs zaɪnən lɛtstən miːliːtɛːrɪʃən rykhalt ʊnt dɛɾ ziːk dɛs zeːfeːrʊs ʃtant fɛst	dɑːmɪt fɛɾloːɾ juːliːɑnʊs zaɪnən lɛtstən miːliːtɛːrɪʃən rykhalt ʊnt dɛɾ ziːk dɛs zeːfeːrʊsʃtant fɛst
common_voice_de_30135973.mp3	fɛɾvaltʊŋsɪts vɑːɾ diː ʃtat veːm	fɛɾvaltʊŋsɪts vɑːɾ diː ʃtat vɛm
common_voice_de_18284356.mp3	fuːnafuːtiː ɪst diː haʊptstat fɔn tuːvaluː	uːnɑfuːtiː ɪst diː haʊptstat fɔn tuːvɑluː
common_voice_de_25870577.mp3	das haɪst nɪçt das viːɾ ʃtykvɛɾk pɾoːduːtsiːrən fiːlmeːɾ zɛtsən viːɾ aɪn pʊtslə tsuːzamən	das haɪst nɪçt das viːɾ ʃtykvɛɾk pɾoːduːtsiːrən fiːlmeːɾ zɛtsən viːɾ aɪn pʊsəl tsuːzamən
common_voice_de_28244485.mp3	kɾeːatiːviːtɛːt diː ʊntɜɡɾɑːbən vɪɾt ɪst tsʊm aʊsʃtɛɾbən fɛɾ??taɪltə kɾeːatiːviːtɛːt	kɾeːatiːviːtɛːt diː ʊntɜɡɾɑːbən vɪɾt ɪst tsʊm aʊsʃtɛːbən fɛɾ??taɪltə kɾeːatiːviːtɛːt
common_voice_de_35225175.mp3	dɾɪtəns ʃtœst diː fɛɾnɪçtʊŋ fɔn ɛlfənbaɪn aʊf masiːvən viːdɜstant	dɾɪtəns ʃtœst diː fɛɾnɪçtʊŋ fɔn ɛlfənbaɪn aʊf masiːvən viːdɜʃtant
common_voice_de_34743755.mp3	ʃtatdɛsən liːf ɛɾ vaɪtɜ fyːɾ diː ɪndiːɑːns aʊf	ʃtatdɛsən liːf ɛɾ vaɪtɜ fyːɾ diː ɪndɪəns aʊf
common_voice_de_39277970.mp3	iːrə famiːlɪə ɪst jyːdɪʃ ʊnt ziː vʊxs ɪn loːs anɡɛləs aʊf	iːrə famiːlɪə ɪst jyːdɪʃ ʊnt ziː vʊxs ɪn loːs anɡɛləs aʊf
common_voice_de_37459426.mp3	zaɪn eːpoːs yːbɜ diː ɛːɡyptɪʃə ɛkspeːdiːtsjoːn ɪst niː fɛɾœfəntlɪçt vɔɾdən	zaɪn eːpʊs yːbɜ diː ɛːɡyptɪʃə ɛkspeːdiːtsjoːn ɪst niː fɛɾœfəntlɪçtfɔrn
common_voice_de_37633958.mp3	anʃtɛlə dɛɾ fiːɾ tyɾmə diː baɪm lɛtstən bɾant tsɛɾʃtœɾt v??dən ɛɾrɪçtətə man diː bɑrɔkfasɑːdə	anʃtɛlə dɛɾ fiːɾ tyɾmə diː baɪm lɛtstən bɾant tsɛɾʃtœɾt v??dən ɛɾrɪçtətə man diː bɑrɔkfasɑːdə
common_voice_de_18897652.mp3	duː fɛːɾst ɪç ʃiːsə	duː fɛːɾst ɪç ʃiːsə
common_voice_de_35197434.mp3	kɑroːliːnə hɛɾf??t leːpt ɪn bɛɾliːn	kɑroːliːn hɛɾf??t leːpt ɪn bɛɾliːn
common_voice_de_27383675.mp3	ɡəʃtatən ziː miːɾ ɡants k??ts aʊf tsvaɪ vɪçtɪɡə teːmən aɪntsuːɡeːən	ɡəʃtatən ziː miːɾ ɡants k??ts aʊf tsvaɪ vɪçtɪɡə teːmən aɪntsuːɡeːən
common_voice_de_24761362.mp3	lɔtɑːɾ fɪʃɜ vɑːɾ aɪnɜ dɛɾ bədɔøtəndstən dɔøtʃən bɪlthaʊɜ nɑːx deːm tsvaɪtən vɛltkɾiːk	laʊtoːɾ fɪʃɜ vɑːɾ aɪnɜ dɛɾ bədɔøtəndstən dɔøtʃən bɪlthaʊɜ nɑːx deːm tsvaɪtən vɛltkɾiːk
common_voice_de_18927389.mp3	nɪçt ɪn alən vɑriːtɛːtən dɛs dɔøtʃən ɪst dɛɾ ɡlɔtɪsfɜʃlʊs ɡlaɪç hɔøfɪç	nɪçt ɪn alən vɑːriːtɛːtən dɛs dɔøtʃən ɪst dɛɾ klɔtɪsfɜʃlʊs ɡlaɪçhɔøfɪç
common_voice_de_24992203.mp3	balt dɑːraʊf vɪɾd ɛɾ tsʊm kɾaftvɛɾk ɡəʃɪkt ʊm das dyːnamɪt dɔɾt antsuːbɾɪŋən	balt dɑːraʊf vɪɾd ɛɾ tsʊm kɾaftvɛɾk ɡəʃɪkt ʊm das dyːnamɪt dɔɾt antsuːbɾɪŋən
common_voice_de_27055278.mp3	haʊptzɛçlɪç vɛɾdən kaɾtɔfəln tsviːbəln kafeː ʊnt tsʊkɜroːɾ anɡəbaʊt	haʊptzɛçlɪç vɛɾdən kaɾtɔfəln tsviːbən kafeː ʊnt tsʊkroːɾ anɡəbaʊt
common_voice_de_27508555.mp3	das ɪst nɪçt nuːɾ diː aʊfɡɑːbə dɛs paɾlamɛnts	das ɪst nɪçt nuːɾ diː aʊfɡɑːbə dɛs paɾlamɛnts
common_voice_de_36522336.mp3	diː aɾbaɪt dɛɾ ɡɾʊpə vɑːɾ ɛɾfɔlɡɾaɪç	diː aɾbaɪtdɛɾɡɾʊpə vɑːɾ ɛɾfɔlɡɾaɪçç
common_voice_de_20746889.mp3	tsɛntɾɑːlə teːoːloːɡɪʃə bəɡɾɪfə viː ʃʊlt oːdɜ ɡənɑːdə vɛɾdən baɪbeːaltən	tsɛntɾɑːlə teːoːloːɡɪʃə bəɡɾɪfə viː ʃʊlt oːdɜ ɡnɑːtə v??dən baɪbeːaltən
common_voice_de_20212437.mp3	nuːɾ d??ç diː ʊmzɛtsʊŋ dɛɾ ɛntʃpɾɛçəndən hyːɡɪeːneːmasnɑːmən kœnən ʃɛːdɪɡʊŋən dɛs nɛçstən patsjɛntən fɛɾmiːdən vɛɾdən	nuːɾ d??ç diː ʊmzɛtsʊŋ dɛɾ ɛntʃpɾɛçəndən hiːɡəneːmaʊsnɑːmən kœnən ʃɛːdɪɡʊŋən dɛs nɛçstən patsjɛntən fɛɾmiːdən vɛɾdən
common_voice_de_19035741.mp3	dɛɾ ɡəʃʊndənə boːtə hat ɛs viː ɪmɜ aɪlɪç	dɛɾ ɡəʃʊndənə boːtə hat ɛs viː ɪmɜ aɪlɪç
common_voice_de_36885966.mp3	nɑːx iːrəm apʃlʊs ɡɾyndətə keːlɪs tsuːzamən mɪt deːn nɛptuːnəs aɪnə bant	nɑːx iːrəm apʃlʊs ɡɾyndətə keːlis tsuːzamən mɪt deːn nɛptuːns aɪnə bant
common_voice_de_32438477.mp3	danax v??dən alə zaɪnə matʃəs als fɛɾloːrən ɡəvɛɾtət	danax v??dən alə zaɪnə maçəs als fɛɾloːrən ɡəvɛɾtət
common_voice_de_19687076.mp3	dɛɾ dɾaɪtseːntə taɪl reːɡəlt diː rykɜstatʊŋ fɔn fɛɾzɔɾɡʊŋslaɪstʊŋən	dɛɾ dɾaɪtseːntə taɪl reːɡəlt diː rykɜstatʊŋ fɔn fɛɾzɔɾɡʊŋslaɪstʊŋən
common_voice_de_24795727.mp3	diː haʊptstat dɛs deːpaɾtamɛntoː zaɾɡɛntoː kabɾɑːl ɪst koːloːniːɑː eːliːzɑː	diː haʊptstat dɛs deːpaɾtamɛntoːs zaɾɡəntoː kabɾɑːl ɪst koːloːniːɑː eːliːzɑː
common_voice_de_26718039.mp3	tɾɔtsdəm ɡəlaŋ iːm ɛɾnɔøt aɪn tiːtəlɡeːvɪn	tɾɔtsdəm ɡəlaŋ iːm ɛɾnɔøt aɪn tiːtəlɡeːvɪn
